"Tags : imprimable, mulit utilité, impression 3D",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Numéro,Dénomination commune,Référence,Fabricant,Quantité,Prix unitaire,Prix de l'ensemble,Lien de commande,Commentaire,,,
,Ordinateur principal,OUSTRY,Paillade-1,1,"501,57","501,57",https://www.materiel.net/configurateur-pc-sur-mesure/c865f7b5e5d0c4eb3b2cc2684f755e6d/,Configuration PC :,,AMD Ryzen 3 3200G,106€94
,Ordinateur d'appoint,Intel,NUC KIT NUC6CAYS,3,"235,94","707,82",https://www.materiel.net/produit/201704100099.html,,,Gigabyte B450M DS3H,88€94
,Écran,Philips,223V5LSB2,5,"79,94","399,7",https://www.materiel.net/produit/201401210046.html,,,G.Skill Aegis DDR4 2 x 8 Go 3200 MHz CAS 16,94€94
,,Corsair,MM100 Taille M,0,"11,94",0,,,,BitFenix Nova - Noir,44€95
,rallonge usb,Nedis,Rallonge USB 2.0 - 2 m,3,"7,96","23,88",,,,Seasonic S12III - 550 Bronze,74€95
,Tapis de souris,Corsair,MM100 - Taille M,5,"11,94","59,7",,,,Kingston A2000 - 250 Go,66€95
,Claviers,Cherry,KC 1000,5,15,75,,,,2 x Be Quiet Pure Wings 2 120 mm,23€90
,Souris,Steelseries,Rival 110,4,30,120,,,,Total :,501€57
,Souris sans fil,Logitech,M590,2,45,90,,,,,
,Clavier distant sans fil + trackpad,Logitech,K400 PLUS,1,40,40,,,,,
,Hub USB,TP-Link,UH400 USB 3.0,2,"18,95","37,9",,,,,
,Hub Ethernet,Netgear,GS108,1,"41,95","41,95",https://www.materiel.net/produit/200402190015.html,,,,
,,,,,,0,,,,,
,License windows 10,Windows,,2,20,40,,,,,
,Carte SD pour logiciels,Kingston,Canvas Select Plus SDCS2/32GB,4,"10,94","43,76",,,,,
,"Clef USB (pour impressions, etc...)",Kingston,32 Go - DataTraveler G4,3,"12,95","38,85",,,,,
,Appareil photo + microphone,,,,,0,Sous total postes informatique :,,,,
,,,,,,0,"2300,03",,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,ajouter pole chimie,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,,,,,,0,,,,,
,kit arduino,,,,,0,,,,,
,petits set  de bobines (1 de chaque jeu de couleur),,,,,0,,,,,
,le fil plus épais que j'ai pris,,,,,,,,,,
,bobines plus grosses,,,,,,,,,,
,les fils jumper en male male mf et ff et des md longs,,,,,,,,,,
,egalements divers outils et jeux de clefs,,,,,,,,,,
,hotte aspirante,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Rajouter des kits de robots à Monter,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Ajouter étagères et rangment,,,,,,,,,,,
